"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,8.304256820449245
2,1.4051004901833541
3,0.6167056047140478
4,0.23365568800460754
5,0.11457984729596396
6,0.07579953791895881
7,0.04525538167548249
8,0.03042450861277097
9,0.02299201127682128
10,0.01762716660573751
11,0.013531405281226051
12,0.008826950462651719
13,0.006166883200922783
14,0.0034839525971880024
15,0.0018248847559282676
16,0.0012417495371328754
17,0.0009119217778007514
18,0.0006430360178624862
19,0.00040558982603998786
20,0.00020605846663201158
