"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,total_time
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",15.816344461142966,1.5009848470000002
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",10.997815110766311,1.2792827550000005
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",11.305546896068122,1.244387165
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",14.244796401378636,1.237692911
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",13.266187429803058,1.236561106
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",11.133742643219742,1.246706757
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",10.521203171139575,1.2387981230000005
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",14.463782102623307,1.238807919000001
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",14.5207378611994,1.2066942540000003
"[15, 5, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",16.477831083032097,1.2419238799999999
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",10.069624811041963,1.8746174439999983
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.114020005693828,1.8063840119999988
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.637174673684557,1.884567619000002
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",9.587932181260518,2.029384458999999
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",9.707063634110675,2.6367934390000016
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.6508570305568995,2.0471089069999984
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",10.535497235319246,2.323834606000002
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",12.827329809630656,2.5559902580000013
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",13.615906014712413,2.2275939120000032
"[15, 5, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",10.432841536849118,2.5650638209999954
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.707840276732908,3.4685595390000046
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",16.83205441705033,6.7280842370000045
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",10.628794549453069,5.613270475999997
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.992805823542126,4.111541045000003
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.806419515894216,3.364954652999998
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",16.179669906415217,3.427306529000006
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",13.422975272007617,3.184743034999997
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.725562420301678,3.206172206000005
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",11.398976479008951,3.2814092030000097
"[15, 5, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",10.75314838369316,3.1511910539999946
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",14.170376422015446,2.0152592980000037
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",11.522921499282052,1.909525164999991
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",13.00071078762288,2.2718425170000103
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",12.87708895125772,3.4231758629999973
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",15.165415742375327,2.928615149999999
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",12.420506770814297,2.8327579450000115
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",14.914835853217784,3.0969955399999947
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",12.546218136522743,2.4376205980000094
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.85025448925136,2.859371675999995
"[15, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",12.127727506323092,3.091867897
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",10.940958405257145,3.751156064
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",10.666489046036522,4.507190644000005
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",9.936729787609394,4.436793904999988
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.941823508388387,3.572952861999994
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",13.2749867973828,3.664879075000016
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",11.69859890677897,4.373325153999986
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",13.436579142420404,3.535980274999986
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",12.777957513301976,3.628457927999989
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.060359868614443,3.5706649939999977
"[15, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",9.999139727334446,3.503333365000003
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",11.703855161875008,7.142314834000018
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",11.01565105267159,4.28131076599999
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.162133851516536,5.605333850000022
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.101035719109014,4.646130591000002
"[15, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",13.326296922116285,4.281220259000008
