"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,1.5342409953190516e-111
2,1.0628230420112116e-128
3,1.9644523491603155e-137
4,1.9644523491603155e-137
5,1.9644523491603155e-137
6,1.9644523491603155e-137
7,1.9644523491603155e-137
8,1.9644523491603155e-137
9,1.9644523491603155e-137
10,1.9644523491603155e-137
11,3.4694314143015983e-141
12,3.4694314143015983e-141
13,3.4694314143015983e-141
14,3.4694314143015983e-141
15,3.4694314143015983e-141
16,3.4694314143015983e-141
17,3.4694314143015983e-141
18,3.4694314143015983e-141
19,3.4694314143015983e-141
20,3.4694314143015983e-141
21,3.4694314143015983e-141
22,1.1811568693221345e-145
23,1.1811568693221345e-145
24,1.1811568693221345e-145
25,1.1811568693221345e-145
26,1.1811568693221345e-145
27,1.1811568693221345e-145
28,1.1811568693221345e-145
29,1.1811568693221345e-145
30,1.1811568693221345e-145
31,1.1811568693221345e-145
32,1.1811568693221345e-145
33,1.1811568693221345e-145
34,1.1811568693221345e-145
35,1.1811568693221345e-145
36,1.1811568693221345e-145
37,1.1811568693221345e-145
38,1.1811568693221345e-145
39,1.1811568693221345e-145
40,1.1811568693221345e-145
41,1.1811568693221345e-145
42,1.1811568693221345e-145
43,1.1811568693221345e-145
44,1.1811568693221345e-145
45,1.1811568693221345e-145
46,1.1811568693221345e-145
47,1.1811568693221345e-145
48,1.1811568693221345e-145
49,1.1811568693221345e-145
50,1.1811568693221345e-145
51,1.1811568693221345e-145
52,1.1811568693221345e-145
53,1.1811568693221345e-145
54,1.1811568693221345e-145
55,1.1811568693221345e-145
56,1.1811568693221345e-145
57,1.1811568693221345e-145
58,1.1811568693221345e-145
59,1.1811568693221345e-145
60,1.1811568693221345e-145
61,1.1811568693221345e-145
62,1.1811568693221345e-145
63,1.1811568693221345e-145
64,1.1811568693221345e-145
65,1.1811568693221345e-145
66,1.1811568693221345e-145
67,1.1811568693221345e-145
68,1.1811568693221345e-145
69,1.1811568693221345e-145
70,1.1811568693221345e-145
71,1.1811568693221345e-145
72,1.1811568693221345e-145
73,1.1811568693221345e-145
74,1.1811568693221345e-145
75,1.1811568693221345e-145
76,1.1811568693221345e-145
77,1.1811568693221345e-145
78,1.1811568693221345e-145
79,1.1811568693221345e-145
80,1.1811568693221345e-145
81,1.1811568693221345e-145
82,1.1811568693221345e-145
83,1.1811568693221345e-145
84,1.1811568693221345e-145
85,1.1811568693221345e-145
86,1.1811568693221345e-145
87,1.1811568693221345e-145
88,1.1811568693221345e-145
89,1.1811568693221345e-145
90,1.1811568693221345e-145
91,1.1811568693221345e-145
92,1.1811568693221345e-145
93,1.1811568693221345e-145
94,1.1811568693221345e-145
95,1.1811568693221345e-145
96,1.1811568693221345e-145
97,1.1811568693221345e-145
98,1.1811568693221345e-145
99,1.1811568693221345e-145
100,1.1811568693221345e-145
