"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness,total_time
"[15, 5, 50, 100, 10, 2.5, 2.5]",1.1063964460705593e-124,1.002927949
"[15, 5, 50, 100, 10, 2.5, 2.5]",3.6497493254038506e-158,1.1951858660000028
"[15, 5, 50, 100, 10, 2.5, 2.5]",1.3322992929912166e-144,1.0251595540000054
"[15, 5, 50, 100, 10, 2.5, 2.5]",1.2078094005463633e-132,1.0349893640000047
"[15, 5, 50, 100, 10, 2.5, 2.5]",5.5529063611895246e-123,1.2980214420000067
"[15, 5, 50, 100, 10, 2.5, 2.5]",2.9444874990447864e-131,1.6335137250000002
"[15, 5, 50, 100, 10, 2.5, 2.5]",1.2713112841564768e-134,1.1167675930000058
"[15, 5, 50, 100, 10, 2.5, 2.5]",3.508950893175266e-133,1.3445532490000005
"[15, 5, 50, 100, 10, 2.5, 2.5]",9.757715621511536e-146,1.0832678630000032
"[15, 5, 50, 100, 10, 2.5, 2.5]",2.3755130033041153e-131,1.0558848229999853
"[15, 5, 50, 100, 10, 2.5, 2.5]",1.0848211482112141e-132,1.1288969339999824
"[15, 5, 50, 100, 10, 2.5, 2.5]",4.01525711610769e-154,1.0606383080000228
"[15, 5, 50, 100, 10, 2.5, 2.5]",8.042496620960202e-129,1.0390383860000156
"[15, 5, 50, 100, 10, 2.5, 2.5]",4.310133684674298e-151,1.0565724900000077
"[15, 5, 50, 100, 10, 2.5, 2.5]",2.0194845533308896e-130,1.0191347710000116
"[15, 5, 50, 100, 10, 2.5, 2.5]",5.927039887223296e-133,1.0869823840000095
"[15, 5, 50, 100, 10, 2.5, 2.5]",1.6598661389764128e-150,1.1975339170000154
"[15, 5, 50, 100, 10, 2.5, 2.5]",5.815358135304337e-132,1.2762218450000091
"[15, 5, 50, 100, 10, 2.5, 2.5]",2.575775147432862e-138,1.035040214999981
"[15, 5, 50, 100, 10, 2.5, 2.5]",8.949261410074586e-132,1.03352865399998
"[15, 5, 50, 200, 10, 2.5, 2.5]",9.363022958706344e-229,1.2958189490000223
"[15, 5, 50, 200, 10, 2.5, 2.5]",8.508600035549851e-223,1.300087708000035
"[15, 5, 50, 200, 10, 2.5, 2.5]",3.7232686826727566e-212,1.2614071509999576
"[15, 5, 50, 200, 10, 2.5, 2.5]",1.879980367397471e-213,1.2915861120000045
"[15, 5, 50, 200, 10, 2.5, 2.5]",1.392796970735359e-208,1.266612705
"[15, 5, 50, 200, 10, 2.5, 2.5]",4.364822281929664e-238,1.2771605060000297
"[15, 5, 50, 200, 10, 2.5, 2.5]",4.246879990121172e-219,1.4363945549999926
"[15, 5, 50, 200, 10, 2.5, 2.5]",8.52229166502804e-206,1.3201644060000035
"[15, 5, 50, 200, 10, 2.5, 2.5]",7.337860460490517e-214,1.2936505119999993
"[15, 5, 50, 200, 10, 2.5, 2.5]",1.5973466520165897e-225,1.3160290740000278
"[15, 5, 50, 200, 10, 2.5, 2.5]",4.0040656831656153e-230,1.2797996719999674
"[15, 5, 50, 200, 10, 2.5, 2.5]",3.9391218879311507e-221,1.5974387449999767
"[15, 5, 50, 200, 10, 2.5, 2.5]",2.8081359047667704e-201,2.2699796590000005
"[15, 5, 50, 200, 10, 2.5, 2.5]",6.213403630661439e-208,1.3454433919999929
"[15, 5, 50, 200, 10, 2.5, 2.5]",1.5729982284689092e-222,1.9525542580000206
"[15, 5, 50, 200, 10, 2.5, 2.5]",2.7541389417730387e-204,1.8154211840000016
"[15, 5, 50, 200, 10, 2.5, 2.5]",7.311830040863643e-213,1.7052643360000275
"[15, 5, 50, 200, 10, 2.5, 2.5]",1.7346158211898128e-208,1.1768274030000612
"[15, 5, 50, 200, 10, 2.5, 2.5]",1.9157567542924024e-212,1.4522729390000677
"[15, 5, 50, 200, 10, 2.5, 2.5]",2.902926605941745e-215,1.597958927000036
"[15, 5, 50, 300, 10, 2.5, 2.5]",5.166111644782222e-278,1.6523550489999934
"[15, 5, 50, 300, 10, 2.5, 2.5]",6.469164735037957e-285,1.7406796419999182
"[15, 5, 50, 300, 10, 2.5, 2.5]",3.437664927206604e-287,2.1772178889999623
"[15, 5, 50, 300, 10, 2.5, 2.5]",1.0225716047994465e-283,1.8353882479999584
"[15, 5, 50, 300, 10, 2.5, 2.5]",3.636327659335409e-282,1.8541250669999272
"[15, 5, 50, 300, 10, 2.5, 2.5]",3.5542901901190846e-269,1.73803254500001
"[15, 5, 50, 300, 10, 2.5, 2.5]",1.195579868148461e-297,2.134893723999994
"[15, 5, 50, 300, 10, 2.5, 2.5]",6.257156690339816e-285,1.6382751419999977
"[15, 5, 50, 300, 10, 2.5, 2.5]",2.3804785679125055e-275,2.0258056989999886
"[15, 5, 50, 300, 10, 2.5, 2.5]",1.41962928665306e-310,1.4915082019999772
"[15, 5, 50, 300, 10, 2.5, 2.5]",6.987382040899299e-281,1.4546685770000067
"[15, 5, 50, 300, 10, 2.5, 2.5]",1.7349178459134658e-274,1.6545444790000374
"[15, 5, 50, 300, 10, 2.5, 2.5]",5.0800273349635155e-275,2.005345979000026
"[15, 5, 50, 300, 10, 2.5, 2.5]",8.367731391310255e-288,2.641442887999915
"[15, 5, 50, 300, 10, 2.5, 2.5]",7.943901774713573e-280,1.6984473839999055
"[15, 5, 50, 300, 10, 2.5, 2.5]",2.0567257154462265e-292,2.6565626920000796
"[15, 5, 50, 300, 10, 2.5, 2.5]",5.708444140484768e-268,1.573893388999977
"[15, 5, 50, 300, 10, 2.5, 2.5]",8.247687903737188e-288,2.5773013980000314
"[15, 5, 50, 300, 10, 2.5, 2.5]",3.068533743908394e-281,1.6677361109999538
"[15, 5, 50, 300, 10, 2.5, 2.5]",3.7278319496939466e-297,1.9548085349999837
"[15, 5, 100, 100, 10, 2.5, 2.5]",1.428481583284522e-124,1.9469316250000475
"[15, 5, 100, 100, 10, 2.5, 2.5]",1.0483485448280993e-139,2.2163005959999964
"[15, 5, 100, 100, 10, 2.5, 2.5]",1.6144991792084181e-139,2.860363054000004
"[15, 5, 100, 100, 10, 2.5, 2.5]",9.443436591662669e-124,2.7817577030000393
"[15, 5, 100, 100, 10, 2.5, 2.5]",4.444003701061703e-135,2.047301585000014
"[15, 5, 100, 100, 10, 2.5, 2.5]",2.215460449843549e-147,2.960206767000045
"[15, 5, 100, 100, 10, 2.5, 2.5]",8.222832560536803e-128,2.0187797410001167
"[15, 5, 100, 100, 10, 2.5, 2.5]",5.921064895236034e-135,1.877439957999968
"[15, 5, 100, 100, 10, 2.5, 2.5]",4.22845873604989e-135,2.378043182000056
"[15, 5, 100, 100, 10, 2.5, 2.5]",7.764196477600567e-128,1.9684387080001216
"[15, 5, 100, 100, 10, 2.5, 2.5]",3.9409531818943715e-132,2.9244774849998976
"[15, 5, 100, 100, 10, 2.5, 2.5]",1.3883307865927457e-147,1.8681751169999643
"[15, 5, 100, 100, 10, 2.5, 2.5]",7.265659528476088e-131,2.159770094000123
"[15, 5, 100, 100, 10, 2.5, 2.5]",3.690817836061491e-139,3.427844907000008
"[15, 5, 100, 100, 10, 2.5, 2.5]",7.580179595252918e-141,2.9553800359999514
"[15, 5, 100, 100, 10, 2.5, 2.5]",3.1023002134151417e-128,2.7785624319999442
"[15, 5, 100, 100, 10, 2.5, 2.5]",3.828033881554914e-139,3.4962355610000486
"[15, 5, 100, 100, 10, 2.5, 2.5]",3.3288493489596103e-132,2.050022393000063
"[15, 5, 100, 100, 10, 2.5, 2.5]",6.964800316901956e-128,1.7217034919999605
"[15, 5, 100, 100, 10, 2.5, 2.5]",4.1471313363428137e-135,2.0530137900000227
"[15, 5, 100, 200, 10, 2.5, 2.5]",3.393048090560434e-232,3.5362289370000326
"[15, 5, 100, 200, 10, 2.5, 2.5]",3.2316850876416693e-218,2.772504524999931
"[15, 5, 100, 200, 10, 2.5, 2.5]",2.2068435155889795e-204,3.6069895680000172
"[15, 5, 100, 200, 10, 2.5, 2.5]",2.0618638744716942e-213,3.4262848260000283
"[15, 5, 100, 200, 10, 2.5, 2.5]",2.956384719836325e-215,3.6245913190000465
"[15, 5, 100, 200, 10, 2.5, 2.5]",2.8132283015889116e-212,8.864252523000005
"[15, 5, 100, 200, 10, 2.5, 2.5]",5.562671853050254e-225,3.892559762000019
"[15, 5, 100, 200, 10, 2.5, 2.5]",3.0644728551277274e-219,2.679262695000034
"[15, 5, 100, 200, 10, 2.5, 2.5]",2.934833058659635e-212,3.5991392500000075
"[15, 5, 100, 200, 10, 2.5, 2.5]",6.79355049205776e-225,2.3291213359998437
"[15, 5, 100, 200, 10, 2.5, 2.5]",3.457386326021674e-203,2.2121111469998596
"[15, 5, 100, 200, 10, 2.5, 2.5]",2.3050818837877007e-216,2.824530202999995
"[15, 5, 100, 200, 10, 2.5, 2.5]",1.0394968624615236e-211,2.9705003070000657
"[15, 5, 100, 200, 10, 2.5, 2.5]",1.6663001138423068e-212,2.891763861000072
"[15, 5, 100, 200, 10, 2.5, 2.5]",2.5368557587438764e-200,3.8121102140000858
"[15, 5, 100, 200, 10, 2.5, 2.5]",1.0936979314162082e-227,2.787175061000198
"[15, 5, 100, 200, 10, 2.5, 2.5]",3.0027222627842126e-223,2.8610777799999596
"[15, 5, 100, 200, 10, 2.5, 2.5]",6.752540028897168e-218,2.668894974000068
"[15, 5, 100, 200, 10, 2.5, 2.5]",9.36669200027323e-216,3.3096072739999727
"[15, 5, 100, 200, 10, 2.5, 2.5]",3.4620845360300097e-208,5.452373709999847
"[15, 5, 100, 300, 10, 2.5, 2.5]",9.161062793292226e-287,5.0017317629999525
