"combination [range0, range1, ep_max, c1, c2]",gBest_fitness
1,0.012009749914193797
2,3.8813007276464954e-07
3,7.744823345340238e-11
4,8.992143023593227e-16
5,2.5488257563177376e-22
6,5.223603891256485e-28
7,5.223603891256485e-28
8,5.223603891256485e-28
9,5.223603891256485e-28
10,5.223603891256485e-28
11,5.223603891256485e-28
12,5.223603891256485e-28
13,5.223603891256485e-28
14,5.223603891256485e-28
15,5.223603891256485e-28
16,5.223603891256485e-28
17,5.223603891256485e-28
18,1.912978800294455e-28
19,1.912978800294455e-28
20,1.912978800294455e-28
21,1.912978800294455e-28
22,2.4525912291401466e-32
23,9.69279759629273e-36
24,9.69279759629273e-36
25,9.69279759629273e-36
26,2.9418419165860074e-36
27,2.9418419165860074e-36
28,2.9418419165860074e-36
29,2.9418419165860074e-36
30,2.9418419165860074e-36
31,2.9418419165860074e-36
32,2.9418419165860074e-36
33,2.9418419165860074e-36
34,2.9418419165860074e-36
35,2.9418419165860074e-36
36,2.9418419165860074e-36
37,2.9418419165860074e-36
38,2.9418419165860074e-36
39,2.9418419165860074e-36
40,2.9418419165860074e-36
41,2.9418419165860074e-36
42,2.9418419165860074e-36
43,2.9418419165860074e-36
44,2.9418419165860074e-36
45,2.9418419165860074e-36
46,1.599655853349322e-36
47,1.4017276063321412e-38
48,1.4017276063321412e-38
49,3.7559662348364335e-40
50,5.7301754583136785e-43
51,3.8704011060796197e-44
52,3.8704011060796197e-44
53,4.2741752645260776e-46
54,4.2741752645260776e-46
55,4.2741752645260776e-46
56,2.9483581888905105e-46
57,8.007744646568813e-50
58,7.473706685161644e-51
59,7.473706685161644e-51
60,1.8949156574819412e-53
61,2.930157427658841e-57
62,2.011575734535903e-59
63,2.011575734535903e-59
64,8.554437600670146e-61
65,8.554437600670146e-61
66,8.554437600670146e-61
67,8.554437600670146e-61
68,8.554437600670146e-61
69,2.912621161942298e-61
70,8.610050989228489e-64
71,7.080629924632892e-64
72,2.3332977687385313e-65
73,4.9145757567414304e-70
74,4.9145757567414304e-70
75,4.9145757567414304e-70
76,4.9145757567414304e-70
77,4.9145757567414304e-70
78,4.9145757567414304e-70
79,4.9145757567414304e-70
80,4.9145757567414304e-70
81,4.9145757567414304e-70
82,4.9145757567414304e-70
83,4.9145757567414304e-70
84,4.9145757567414304e-70
85,4.9145757567414304e-70
86,1.469386711622492e-71
87,1.469386711622492e-71
88,6.960420545326742e-77
89,6.960420545326742e-77
90,6.960420545326742e-77
91,3.275349590586348e-82
92,3.275349590586348e-82
93,7.368361603206958e-83
94,7.368361603206958e-83
95,7.368361603206958e-83
96,7.368361603206958e-83
97,7.368361603206958e-83
98,7.368361603206958e-83
99,7.368361603206958e-83
100,7.368361603206958e-83
101,7.368361603206958e-83
102,1.8856237520431412e-84
103,1.6705479114527885e-88
104,1.6705479114527885e-88
105,1.9303620022322345e-92
106,9.252723171157276e-94
107,9.252723171157276e-94
108,9.252723171157276e-94
109,7.362870211061041e-96
110,5.272494499826178e-97
111,7.641646621173118e-99
112,1.799315452142492e-103
113,1.799315452142492e-103
114,1.799315452142492e-103
115,2.8838299819725375e-109
116,2.8838299819725375e-109
117,2.8838299819725375e-109
118,2.8838299819725375e-109
119,2.8838299819725375e-109
120,2.8838299819725375e-109
121,2.8838299819725375e-109
122,3.0076071684976173e-112
123,3.0076071684976173e-112
124,2.047655548395603e-112
125,6.790742145517582e-115
126,8.263107838560533e-117
127,8.263107838560533e-117
128,8.263107838560533e-117
129,1.7877339109066278e-117
130,2.5801082689200008e-120
131,5.22185888168627e-125
132,5.22185888168627e-125
133,5.22185888168627e-125
134,5.22185888168627e-125
135,5.22185888168627e-125
136,5.22185888168627e-125
137,5.22185888168627e-125
138,5.22185888168627e-125
139,5.22185888168627e-125
140,4.336319187654169e-125
141,7.145000494462379e-127
142,1.2257206578156738e-128
143,2.623395348656061e-130
144,2.623395348656061e-130
145,2.623395348656061e-130
146,2.623395348656061e-130
147,1.961652358389672e-131
148,1.2617242018858961e-135
149,1.2617242018858961e-135
150,1.2617242018858961e-135
151,1.2617242018858961e-135
152,1.2617242018858961e-135
153,2.114836656845429e-139
154,2.114836656845429e-139
155,2.114836656845429e-139
156,2.114836656845429e-139
157,2.114836656845429e-139
158,3.2128555869038543e-140
159,7.964018161006915e-142
160,9.545683092849384e-144
161,9.545683092849384e-144
162,3.937249018506629e-144
163,1.0804825415007769e-144
164,1.0804825415007769e-144
165,3.1445324365170195e-145
166,3.1445324365170195e-145
167,2.584679723634216e-145
168,6.847190529625488e-148
169,4.431576557968185e-152
170,4.431576557968185e-152
171,8.844213071266327e-154
172,8.954721040476199e-156
173,8.954721040476199e-156
174,8.954721040476199e-156
175,8.954721040476199e-156
176,8.370723621287501e-157
177,2.4663564497557803e-157
178,7.953350019957825e-158
179,1.5451746768005972e-159
180,2.3837357567278428e-161
181,2.3837357567278428e-161
182,2.3837357567278428e-161
183,2.3837357567278428e-161
184,1.6331474910747034e-162
185,1.0815091335613338e-163
186,1.0815091335613338e-163
187,1.0815091335613338e-163
188,9.768687193732812e-164
189,4.240815564480616e-167
190,4.240815564480616e-167
191,6.9702386853322e-170
192,7.470086561031105e-171
193,7.470086561031105e-171
194,7.470086561031105e-171
195,7.470086561031105e-171
196,7.470086561031105e-171
197,7.470086561031105e-171
198,7.470086561031105e-171
199,7.470086561031105e-171
200,2.9799585239514605e-174
201,1.8711716772952324e-175
202,2.906846638526096e-176
203,2.906846638526096e-176
204,2.906846638526096e-176
205,2.52872163531017e-179
206,2.52872163531017e-179
207,2.52872163531017e-179
208,6.647471297590714e-186
209,1.7146592677959302e-187
210,1.7146592677959302e-187
211,1.7146592677959302e-187
212,1.7146592677959302e-187
213,1.7146592677959302e-187
214,1.7146592677959302e-187
215,1.7146592677959302e-187
216,1.7146592677959302e-187
