"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f1', 20, -10, 10, 100, 250, 25000]",2.804284595712494e-199,3.3012259999999998
"['f1', 20, -10, 10, 100, 250, 25000]",1.6006982489111238e-189,3.3578710000000003
"['f1', 20, -10, 10, 100, 250, 25000]",4.58449017691722e-190,3.1279280000000007
"['f1', 20, -10, 10, 100, 250, 25000]",2.8760424804130174e-191,3.063258000000001
"['f1', 20, -10, 10, 100, 250, 25000]",6.415289164670437e-184,2.6354000000000006
"['f1', 20, -10, 10, 100, 250, 25000]",1.098507139728361e-189,2.731427
"['f1', 20, -10, 10, 100, 250, 25000]",5.23505294868973e-193,3.236426999999999
"['f1', 20, -10, 10, 100, 250, 25000]",2.902109656210912e-181,2.8564909999999983
"['f1', 20, -10, 10, 100, 250, 25000]",4.25919963468913e-190,2.723827
"['f1', 20, -10, 10, 100, 250, 25000]",1.1158838589928686e-194,2.5126649999999984
"['f1', 20, -10, 10, 100, 250, 25000]",4.396266741957013e-208,2.5584690000000023
"['f1', 20, -10, 10, 100, 250, 25000]",1.3327794445667602e-186,2.605657000000001
"['f1', 20, -10, 10, 100, 250, 25000]",3.664781930360871e-194,2.7863400000000027
"['f1', 20, -10, 10, 100, 250, 25000]",1.5926235672950042e-201,2.503214
"['f1', 20, -10, 10, 100, 250, 25000]",1.450041436231564e-218,2.5566670000000045
"['f1', 20, -10, 10, 100, 250, 25000]",2.218557318691562e-195,2.584291999999998
"['f1', 20, -10, 10, 100, 250, 25000]",6.273028629646502e-189,2.7438379999999967
"['f1', 20, -10, 10, 100, 250, 25000]",1.0374965503378558e-197,2.5952719999999943
"['f1', 20, -10, 10, 100, 250, 25000]",1.1485663687683606e-195,2.519914
"['f1', 20, -10, 10, 100, 250, 25000]",4.97193142352866e-193,2.4849999999999994
"['f1', 20, -10, 10, 100, 300, 30000]",3.1443995890154004e-204,3.1993650000000002
"['f1', 20, -10, 10, 100, 300, 30000]",9.822531220869668e-220,3.487987000000004
"['f1', 20, -10, 10, 100, 300, 30000]",1.7196238391415692e-222,3.1333549999999946
"['f1', 20, -10, 10, 100, 300, 30000]",1.647981517576599e-222,2.9784500000000094
"['f1', 20, -10, 10, 100, 300, 30000]",1.7830928896438268e-234,2.9957220000000007
"['f1', 20, -10, 10, 100, 300, 30000]",1.6651264446918283e-202,2.9849820000000022
"['f1', 20, -10, 10, 100, 300, 30000]",1.3580140126318543e-231,2.9696150000000046
"['f1', 20, -10, 10, 100, 300, 30000]",2.0004301935632114e-213,2.9676079999999985
"['f1', 20, -10, 10, 100, 300, 30000]",1.2980064896263999e-219,2.9674949999999995
"['f1', 20, -10, 10, 100, 300, 30000]",1.1510526980389063e-206,2.9439410000000095
"['f1', 20, -10, 10, 100, 300, 30000]",3.574059101177733e-206,2.96786800000001
"['f1', 20, -10, 10, 100, 300, 30000]",1.4096630949111896e-216,2.9716820000000013
"['f1', 20, -10, 10, 100, 300, 30000]",2.171391139292981e-217,2.957194000000001
"['f1', 20, -10, 10, 100, 300, 30000]",8.376038930771334e-206,3.064779999999999
"['f1', 20, -10, 10, 100, 300, 30000]",4.5070136788684865e-208,3.1400289999999984
"['f1', 20, -10, 10, 100, 300, 30000]",4.4278797371755743e-237,3.014495999999994
"['f1', 20, -10, 10, 100, 300, 30000]",5.887353286113033e-211,3.2146299999999997
"['f1', 20, -10, 10, 100, 300, 30000]",1.8647973500856053e-217,3.1559720000000056
"['f1', 20, -10, 10, 100, 300, 30000]",9.231531580116752e-220,2.9811169999999976
"['f1', 20, -10, 10, 100, 300, 30000]",1.4004742493797053e-213,3.0930160000000058
"['f1', 20, -10, 10, 200, 150, 30000]",2.1602749214305738e-144,3.363716000000011
"['f1', 20, -10, 10, 200, 150, 30000]",9.265040522755208e-138,3.39985200000001
"['f1', 20, -10, 10, 200, 150, 30000]",2.227039173608057e-144,3.2287239999999997
"['f1', 20, -10, 10, 200, 150, 30000]",2.4207660869423985e-134,2.9822300000000155
"['f1', 20, -10, 10, 200, 150, 30000]",3.0200348760456006e-156,2.9907340000000033
"['f1', 20, -10, 10, 200, 150, 30000]",1.4499779084407482e-139,2.992954999999995
"['f1', 20, -10, 10, 200, 150, 30000]",4.441089277696057e-147,2.983651000000009
"['f1', 20, -10, 10, 200, 150, 30000]",1.0154144685728954e-147,2.963289000000003
"['f1', 20, -10, 10, 200, 150, 30000]",3.2716713608695194e-139,2.94976699999998
"['f1', 20, -10, 10, 200, 150, 30000]",1.2735049723167111e-148,2.975161000000014
"['f1', 20, -10, 10, 200, 150, 30000]",7.032648823860071e-155,3.0914840000000083
"['f1', 20, -10, 10, 200, 150, 30000]",4.806695170038264e-149,3.219430000000017
"['f1', 20, -10, 10, 200, 150, 30000]",1.5318578881742835e-146,2.968241000000006
"['f1', 20, -10, 10, 200, 150, 30000]",1.4531921260178428e-148,3.0045649999999853
"['f1', 20, -10, 10, 200, 150, 30000]",1.0208796944937677e-141,2.9913190000000043
"['f1', 20, -10, 10, 200, 150, 30000]",1.9909616323856124e-140,3.044500999999997
"['f1', 20, -10, 10, 200, 150, 30000]",2.985870911167247e-147,3.0741160000000036
"['f1', 20, -10, 10, 200, 150, 30000]",5.7337243119082964e-148,3.182030999999995
"['f1', 20, -10, 10, 200, 150, 30000]",2.257907061173207e-148,3.159456000000006
"['f1', 20, -10, 10, 200, 150, 30000]",1.3170138106456402e-156,3.1123479999999972
"['f1', 20, -100, 100, 100, 250, 25000]",8.648062092274931e-43,2.8510279999999852
"['f1', 20, -100, 100, 100, 250, 25000]",6.075613352951562e-39,3.1353070000000116
"['f1', 20, -100, 100, 100, 250, 25000]",1.6454266859474844e-56,2.8738950000000045
"['f1', 20, -100, 100, 100, 250, 25000]",7.34159093383303e-41,2.7008010000000127
"['f1', 20, -100, 100, 100, 250, 25000]",4.054747219673899e-29,2.7304289999999867
"['f1', 20, -100, 100, 100, 250, 25000]",7.403226435967842e-39,2.850722000000019
"['f1', 20, -100, 100, 100, 250, 25000]",9.330742741816404e-41,2.7678789999999935
"['f1', 20, -100, 100, 100, 250, 25000]",8.452389980907565e-57,2.6434710000000052
"['f1', 20, -100, 100, 100, 250, 25000]",4.2467624683271083e-44,2.6539339999999925
"['f1', 20, -100, 100, 100, 250, 25000]",2.1495422190982936e-30,2.6810859999999934
"['f1', 20, -100, 100, 100, 250, 25000]",8.28446015552199e-46,2.9137939999999958
"['f1', 20, -100, 100, 100, 250, 25000]",4.5648197760303736e-39,3.032072999999997
"['f1', 20, -100, 100, 100, 250, 25000]",1.3243564110401545e-42,2.9484020000000157
"['f1', 20, -100, 100, 100, 250, 25000]",9.58058893062542e-37,3.0112049999999897
"['f1', 20, -100, 100, 100, 250, 25000]",2.2355081959220507e-35,2.903043999999994
"['f1', 20, -100, 100, 100, 250, 25000]",2.990975242700018e-48,3.0214
"['f1', 20, -100, 100, 100, 250, 25000]",1.2302515264593467e-34,2.8428969999999936
"['f1', 20, -100, 100, 100, 250, 25000]",2.6698283502535703e-48,2.8227489999999875
"['f1', 20, -100, 100, 100, 250, 25000]",4.149997176782891e-31,2.813525999999996
"['f1', 20, -100, 100, 100, 250, 25000]",8.403753685431878e-41,3.115399999999994
"['f1', 20, -100, 100, 100, 300, 30000]",6.532333541594775e-42,3.254630999999989
"['f1', 20, -100, 100, 100, 300, 30000]",5.215394298424816e-34,3.4582140000000265
"['f1', 20, -100, 100, 100, 300, 30000]",1.76317751152727e-46,3.2451449999999795
"['f1', 20, -100, 100, 100, 300, 30000]",3.098902546149306e-44,3.523932000000002
"['f1', 20, -100, 100, 100, 300, 30000]",2.612219927542634e-37,3.3522310000000175
"['f1', 20, -100, 100, 100, 300, 30000]",6.993520089994173e-56,3.2056219999999485
"['f1', 20, -100, 100, 100, 300, 30000]",7.661246161739095e-37,3.3767460000000256
"['f1', 20, -100, 100, 100, 300, 30000]",4.314448787438823e-43,3.199760000000026
"['f1', 20, -100, 100, 100, 300, 30000]",5.605668007872539e-44,3.2820950000000266
"['f1', 20, -100, 100, 100, 300, 30000]",1.4833932917096064e-50,3.236608999999987
"['f1', 20, -100, 100, 100, 300, 30000]",9.977926867554605e-44,3.175414000000046
"['f1', 20, -100, 100, 100, 300, 30000]",4.36066611431997e-34,3.4230949999999893
"['f1', 20, -100, 100, 100, 300, 30000]",7.116468785997086e-37,3.6498109999999997
"['f1', 20, -100, 100, 100, 300, 30000]",2.245874892306866e-46,3.36015900000001
"['f1', 20, -100, 100, 100, 300, 30000]",4.620794310795314e-42,3.2220290000000205
"['f1', 20, -100, 100, 100, 300, 30000]",2.060582693721539e-39,3.267653999999993
"['f1', 20, -100, 100, 100, 300, 30000]",5.849015587448751e-42,3.296508000000017
