"combination [range0, range1, ep_max, c1, c2]",gBest_fitness,total_time
"[-10, 10, 100, 100]",1.0387100903965842e-112,1.513486947
"[-10, 10, 100, 100]",2.1006843365866715e-126,1.5790583539999998
"[-10, 10, 100, 100]",3.4636649201712394e-149,1.5270023510000001
"[-10, 10, 100, 100]",2.766897208844685e-104,1.4905588109999997
"[-10, 10, 100, 100]",4.6876741235143134e-122,1.8598223450000013
"[-10, 10, 100, 100]",4.442386995730676e-118,1.6409721569999984
"[-10, 10, 100, 100]",1.7977999685374463e-117,1.5090138470000003
"[-10, 10, 100, 100]",2.8773042835142803e-114,1.3299452289999998
"[-10, 10, 100, 100]",2.29453622976888e-113,1.555673951000001
"[-10, 10, 100, 100]",2.809064263592862e-107,1.2746277080000006
"[-10, 10, 100, 100]",2.010455335418521e-115,1.3327248219999994
"[-10, 10, 100, 100]",2.27212513824163e-121,1.3727881760000002
"[-10, 10, 100, 100]",1.973249666145689e-122,1.2628557299999983
"[-10, 10, 100, 100]",1.1141584393512446e-125,1.514630413999999
"[-10, 10, 100, 100]",4.1793334927503905e-125,1.3418921570000002
"[-10, 10, 100, 100]",3.3584230906089205e-116,1.543844588999999
"[-10, 10, 100, 100]",1.397658406695286e-106,2.0701844660000006
"[-10, 10, 100, 100]",7.147264467426961e-111,1.6597929540000003
"[-10, 10, 100, 100]",2.407699473626131e-107,1.5329986750000018
"[-10, 10, 100, 100]",5.956090622647998e-123,1.3947524589999993
"[-10, 10, 150, 100]",2.0395417877302267e-115,2.5294982919999995
"[-10, 10, 150, 100]",8.179468099662583e-120,1.9345727509999975
"[-10, 10, 150, 100]",6.478083453623619e-134,1.9923628860000022
"[-10, 10, 150, 100]",1.0801564097513743e-119,2.0326888980000035
"[-10, 10, 150, 100]",7.477246955526694e-116,1.9528873609999948
"[-10, 10, 150, 100]",2.160880590811454e-111,1.998073226999999
"[-10, 10, 150, 100]",2.261194992707839e-119,2.5298654519999957
"[-10, 10, 150, 100]",6.610156475002325e-121,1.8685800659999998
"[-10, 10, 150, 100]",2.5863137521074793e-113,2.624946815999998
"[-10, 10, 150, 100]",7.243762060387643e-117,2.091272604000004
"[-10, 10, 150, 100]",4.572507002970058e-127,1.7348274770000032
"[-10, 10, 150, 100]",8.27101042082247e-122,1.6715849930000033
"[-10, 10, 150, 100]",6.607113046581196e-126,1.7245246049999992
"[-10, 10, 150, 100]",1.7359844109412194e-120,1.9814423270000034
"[-10, 10, 150, 100]",1.448453335002808e-116,1.86173465600001
"[-10, 10, 150, 100]",2.376704602488782e-122,1.6716736340000011
"[-10, 10, 150, 100]",4.459003525550122e-120,2.2194412829999948
"[-10, 10, 150, 100]",2.2309254351909483e-117,1.4603005400000058
"[-10, 10, 150, 100]",9.696733422515182e-114,1.4537952300000114
"[-10, 10, 150, 100]",3.478770100130491e-139,1.8323329350000108
"[-10, 10, 100, 200]",2.1854955582582315e-178,2.160732546999995
"[-10, 10, 100, 200]",3.071550089925041e-175,1.9902984860000004
"[-10, 10, 100, 200]",3.4872827129726083e-187,2.8115368469999993
"[-10, 10, 100, 200]",2.1500488008243724e-177,2.0894587310000077
"[-10, 10, 100, 200]",1.0248656131541359e-187,2.210702222000009
"[-10, 10, 100, 200]",1.4556945752289043e-189,2.047275925000008
"[-10, 10, 100, 200]",9.990924317542957e-176,2.2151627259999884
"[-10, 10, 100, 200]",5.278330248237851e-185,1.927103588999998
"[-10, 10, 100, 200]",2.078600763965197e-179,1.9247541380000115
"[-10, 10, 100, 200]",5.323165332613674e-168,1.9165604529999882
"[-10, 10, 100, 200]",1.2792455598409276e-184,2.3216218490000102
"[-10, 10, 100, 200]",3.598345414858637e-193,2.3750989049999873
"[-10, 10, 100, 200]",9.666117758769853e-188,3.4489647680000104
"[-10, 10, 100, 200]",1.4767882833386351e-189,1.9757245229999967
"[-10, 10, 100, 200]",7.141086502564414e-183,1.9841514729999972
"[-10, 10, 100, 200]",1.803274179678648e-172,2.025500121999997
"[-10, 10, 100, 200]",1.6182628695718984e-209,2.093030491999997
"[-10, 10, 100, 200]",3.675559807150094e-179,2.306108291000001
"[-10, 10, 100, 200]",1.4804747185193052e-182,2.3109177599999953
"[-10, 10, 100, 200]",1.178442584736527e-177,3.124124788000003
"[-10, 10, 150, 200]",4.611242732466211e-182,3.0208520730000146
"[-10, 10, 150, 200]",3.850566648378456e-183,3.5988122119999844
"[-10, 10, 150, 200]",4.522144603296141e-186,4.226805474999992
"[-10, 10, 150, 200]",2.9287165001211255e-177,2.977075596999981
"[-10, 10, 150, 200]",1.8041438368049357e-184,3.1240300820000186
"[-10, 10, 150, 200]",2.135682186142727e-178,3.2630614699999967
"[-10, 10, 150, 200]",1.1652918384170954e-181,3.5107764010000153
"[-10, 10, 150, 200]",1.4647005169361285e-186,4.433474069999988
"[-10, 10, 150, 200]",8.428107465441593e-172,3.1642884460000005
"[-10, 10, 150, 200]",3.5245584619755744e-188,4.664437270000008
"[-10, 10, 150, 200]",3.519459585710705e-190,2.969567245999997
"[-10, 10, 150, 200]",1.6331397593201819e-178,3.1823380679999786
"[-10, 10, 150, 200]",2.274903532375783e-190,4.838444026000019
"[-10, 10, 150, 200]",2.2208444838519093e-180,3.0586905410000043
"[-10, 10, 150, 200]",9.397257756445594e-193,3.119544386000001
"[-10, 10, 150, 200]",7.889438598397527e-198,2.9003237729999967
"[-10, 10, 150, 200]",4.336868753069888e-177,3.3996015820000025
"[-10, 10, 150, 200]",1.9086964463957678e-178,4.049540933999992
"[-10, 10, 150, 200]",4.450968363225413e-170,2.955417358999995
"[-10, 10, 150, 200]",1.6622619513814463e-200,2.888825647999994
"[-10, 10, 100, 300]",2.925036535787444e-222,2.9725875679999945
"[-10, 10, 100, 300]",1.3855585183871505e-241,2.8860665830000016
"[-10, 10, 100, 300]",1.5405440098685784e-238,2.9156796430000043
"[-10, 10, 100, 300]",5.981645498614603e-225,3.2331983509999986
"[-10, 10, 100, 300]",3.021283135157413e-220,2.913454289000015
