"combination [range0, range1, ep_max, c1, c2]",gBest_fitness
1,917.8883772469585
2,717.6246957875609
3,516.4995248578329
4,362.0541529534371
5,228.87903508380683
6,144.81669877617475
7,86.31522751139472
8,52.37715951073833
9,31.519380178526635
10,25.529227488349903
11,25.529227488349903
12,24.625417052048185
13,21.117384317317754
14,21.117384317317754
15,19.79144282077735
16,18.331427016376338
17,16.67370031315997
18,16.67370031315997
19,15.104922902953682
20,15.104922902953682
21,15.041773239497527
22,12.433187843814368
23,12.433187843814368
24,12.433187843814368
25,10.015046851208304
26,9.925651435506195
27,9.925651435506195
28,9.782925806407498
29,9.753877815836711
30,8.874483991278327
31,8.874483991278327
32,8.565400055536026
33,7.938918251962233
34,7.823933991510354
35,6.895214446909749
36,6.895214446909749
37,5.685154627892634
38,5.685154627892634
39,5.397319194575581
40,5.397319194575581
41,5.128848694525784
42,5.128848694525784
43,5.128848694525784
44,4.921813930384626
45,4.807235492158794
46,4.671573320034734
47,4.506408865846071
48,4.405023731552794
49,4.296057841664874
50,4.296057841664874
51,4.293837980800723
52,4.197284186629182
53,4.195549406828118
54,3.9779678106887446
55,3.3847275167015547
56,3.1457728747650036
57,3.070698091017387
58,3.0298651730654234
59,3.0222731141527333
60,3.0222731141527333
61,2.963011706793926
62,2.9203696728437856
63,2.9203696728437856
64,2.9170126669606633
65,2.8520200232967796
66,2.849440269340356
67,2.814050996176278
68,2.7739516432898625
69,2.669438383328103
70,2.652392366852869
71,2.5909805241731396
72,2.553696323307187
73,2.5311580890717438
74,2.4963869674846118
75,2.4484838629671897
76,2.4174619358075917
77,2.409386556804626
78,2.409386556804626
79,2.383998157749203
80,2.3633747218579635
81,2.357786007555438
82,2.355180716158339
83,2.355180716158339
84,2.3479853128672064
85,2.34069608231138
86,2.330993155062586
87,2.3297950587894847
88,2.319718270892114
89,2.3129771572509488
90,2.311942218090632
91,2.310553364358833
92,2.307090161042968
93,2.3028409357721964
94,2.3001685602281126
95,2.2967342449186847
96,2.2964313593093744
97,2.2955939714972193
98,2.2955939714972193
99,2.295160634002577
100,2.292831982128293
