"combination [range0, range1, ep_max, c1, c2]",gBest_fitness
1,901.4513668736581
2,718.0424494876894
3,531.704937109031
4,391.41813032537584
5,266.4722105070435
6,157.071798190359
7,88.73125988430402
8,48.89112432443389
9,25.78045744096341
10,22.040965523355165
11,22.040965523355165
12,22.040965523355165
13,22.031958817428038
14,17.279247519278844
15,16.60575183535183
16,15.066887749835002
17,15.066887749835002
18,14.429901843421753
19,14.104897413536186
20,14.104897413536186
21,13.44862937153354
22,12.162693269733603
23,12.162693269733603
24,12.162693269733603
25,10.486078463221263
26,9.242839570456876
27,9.242839570456876
28,9.0661250400348
29,8.555482703051284
30,8.456519312150252
31,8.456519312150252
32,6.916446434730674
33,6.8463091001064225
34,6.782222667526646
35,6.782222667526646
36,6.514295609694795
37,6.484443104678303
38,6.484443104678303
39,5.968081646061081
40,5.854924015272176
41,5.617934907161764
42,5.574565706271443
43,5.574565706271443
44,5.489384685273684
45,5.306439117960302
46,5.093160367159501
47,4.741348636317903
48,4.699759105013316
49,4.655045950227094
50,4.293405906705801
51,4.293405906705801
52,4.293405906705801
53,4.039800696567475
54,4.039800696567475
55,3.9923339772671445
56,3.9831415980672746
57,3.7452493185896345
58,3.7034430435295658
59,3.4614319423268762
60,3.2179477962971217
61,3.164410211459796
62,3.1400993099426784
63,3.1400993099426784
64,3.1144020058120985
65,3.0198016028131307
66,2.9957989243079277
67,2.9722453957801984
68,2.9609137586896317
69,2.8511838880175637
70,2.843561417754329
71,2.843561417754329
72,2.8297044155104594
73,2.8277294129822192
74,2.8050409093289046
75,2.7596489004556735
76,2.756694677295547
77,2.7365667128637186
78,2.733872291383014
79,2.7249018351398115
80,2.7190334062301065
81,2.717902237469249
82,2.7134486195962424
83,2.70489568900873
84,2.698914506137211
85,2.6967037142954595
86,2.6901580632587865
87,2.687444058221767
88,2.686208784131792
89,2.6858340613101666
90,2.6830607535740376
91,2.682030940074957
92,2.681791013288836
93,2.6776297855988673
94,2.6772884083836863
95,2.6756467434244606
96,2.669554101632374
97,2.664934275688459
98,2.6633848877528346
99,2.6592973345229702
100,2.658411599993237
