"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",total_time,gBest_fitness
"['f1', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",1.94,0.012180458876206002
"['f1', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",2.31,0.0006524293222900965
"['f1', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",2.25,0.0018607962921597082
"['f1', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",2.37,0.0022475835670679
"['f1', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",2.76,0.0031613561617393347
"['f1', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",2.66,0.0012950443769458243
"['f1', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",2.68,0.0021860675775025574
"['f1', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",2.67,0.00030864013123799833
"['f1', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",2.72,0.001921964537617162
"['f1', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",2.69,0.0002602832400189824
"['f1', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",2.79,0.004112139704575423
"['f1', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",2.94,9.883668834758337e-05
"['f1', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",2.29,0.07598654825173118
"['f1', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",2.34,0.03776498412564755
"['f1', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",2.3,0.35963273134370277
"['f1', 20, -100, 100, 100, 250, 2.5, 2.5, 25000]",2.42,0.010998783610965951
"['f1', 20, -100, 100, 100, 300, 2.05, 2.05, 30000]",2.86,0.014307985321899145
"['f1', 20, -100, 100, 100, 300, 2.05, 2.5, 30000]",2.76,0.02353367858867531
"['f1', 20, -100, 100, 100, 300, 2.5, 2.05, 30000]",2.71,0.07335041862769531
"['f1', 20, -100, 100, 100, 300, 2.5, 2.5, 30000]",2.73,0.023708158988461916
"['f1', 20, -100, 100, 200, 150, 2.05, 2.05, 30000]",2.78,0.11416169347221045
"['f1', 20, -100, 100, 200, 150, 2.05, 2.5, 30000]",2.83,0.043499830112561824
"['f1', 20, -100, 100, 200, 150, 2.5, 2.05, 30000]",2.76,0.6878735955431226
"['f1', 20, -100, 100, 200, 150, 2.5, 2.5, 30000]",2.86,0.016714438519191778
"['f1', 30, -10, 10, 100, 250, 2.05, 2.05, 25000]",2.94,0.07149531924568324
"['f1', 30, -10, 10, 100, 250, 2.05, 2.5, 25000]",3.25,0.04078194207571883
"['f1', 30, -10, 10, 100, 250, 2.5, 2.05, 25000]",2.97,0.09378377331813734
"['f1', 30, -10, 10, 100, 250, 2.5, 2.5, 25000]",3.15,0.050430068809980244
"['f1', 30, -10, 10, 100, 300, 2.05, 2.05, 30000]",3.6,0.13362501100999077
"['f1', 30, -10, 10, 100, 300, 2.05, 2.5, 30000]",3.51,0.019126401176766287
"['f1', 30, -10, 10, 100, 300, 2.5, 2.05, 30000]",3.51,0.1835191112370013
"['f1', 30, -10, 10, 100, 300, 2.5, 2.5, 30000]",3.52,0.04865507018583211
"['f1', 30, -10, 10, 200, 150, 2.05, 2.05, 30000]",3.61,0.11407093809974911
"['f1', 30, -10, 10, 200, 150, 2.05, 2.5, 30000]",3.6,0.018291881845408187
"['f1', 30, -10, 10, 200, 150, 2.5, 2.05, 30000]",3.52,0.08599858035538016
"['f1', 30, -10, 10, 200, 150, 2.5, 2.5, 30000]",3.6,0.020843788044954757
"['f1', 30, -100, 100, 100, 250, 2.05, 2.05, 25000]",3.01,1.719312648022615
"['f1', 30, -100, 100, 100, 250, 2.05, 2.5, 25000]",2.97,0.5573900687731883
"['f1', 30, -100, 100, 100, 250, 2.5, 2.05, 25000]",2.96,0.9278374868945081
"['f1', 30, -100, 100, 100, 250, 2.5, 2.5, 25000]",3.38,0.5768896320716733
"['f1', 30, -100, 100, 100, 300, 2.05, 2.05, 30000]",3.53,0.40248425609902005
"['f1', 30, -100, 100, 100, 300, 2.05, 2.5, 30000]",3.64,0.9064018617550537
"['f1', 30, -100, 100, 100, 300, 2.5, 2.05, 30000]",3.64,1.7418242233437424
"['f1', 30, -100, 100, 100, 300, 2.5, 2.5, 30000]",3.95,0.30236661729793235
