"combination [range0, range1, ep_max, c1, c2]",gBest_fitness,total_time
"[-10, 10, 50, 100, 2, 2]",5.684066275614385,1.51
"[-10, 10, 50, 100, 2, 2]",8.407065796300262,1.63
"[-10, 10, 50, 100, 2, 2]",12.356378892367982,1.49
"[-10, 10, 50, 100, 2, 2]",8.798971172684867,1.51
"[-10, 10, 50, 100, 2, 2]",5.967505133204623,1.5
"[-10, 10, 50, 100, 2, 2]",13.767304721764818,1.54
"[-10, 10, 50, 100, 2, 2]",5.704236584697844,1.54
"[-10, 10, 50, 100, 2, 2]",6.183867614185719,1.73
"[-10, 10, 50, 100, 2, 2]",5.887852463804758,1.66
"[-10, 10, 50, 100, 2, 2]",7.122829945737435,1.76
"[-10, 10, 50, 100, 2, 2]",11.062300831397327,1.44
"[-10, 10, 50, 100, 2, 2]",6.27391146085562,1.44
"[-10, 10, 50, 100, 2, 2]",11.355585472465192,1.59
"[-10, 10, 50, 100, 2, 2]",9.825738801827534,1.41
"[-10, 10, 50, 100, 2, 2]",8.919310122780878,1.4
"[-10, 10, 50, 100, 2, 2]",5.043607805011999,1.4
"[-10, 10, 50, 100, 2, 2]",13.45504971832706,1.44
"[-10, 10, 50, 100, 2, 2]",10.263118888237592,1.45
"[-10, 10, 50, 100, 2, 2]",8.478440343400518,1.44
"[-10, 10, 50, 100, 2, 2]",8.15070706248151,1.41
"[-10, 10, 100, 100, 2, 2]",4.876565722584389,2.96
"[-10, 10, 100, 100, 2, 2]",2.872951209196434,3.09
"[-10, 10, 100, 100, 2, 2]",4.516253623372263,3.03
"[-10, 10, 100, 100, 2, 2]",2.6200409751549096,4.0
"[-10, 10, 100, 100, 2, 2]",2.6925091099134666,2.84
"[-10, 10, 100, 100, 2, 2]",3.228832592766841,3.13
"[-10, 10, 100, 100, 2, 2]",3.184595714833028,3.38
"[-10, 10, 100, 100, 2, 2]",3.7386415626190153,2.83
"[-10, 10, 100, 100, 2, 2]",3.0014027298805344,2.85
"[-10, 10, 100, 100, 2, 2]",5.877682507203673,3.25
