"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",3028.347122121194,4.41
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",5069.504377281844,4.34
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",8248.863383508438,5.0
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",8624.970580901447,4.71
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",13460.326710300267,4.39
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",3705.323399221969,4.48
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",2173.6590007380532,4.73
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",4966.549867225027,4.55
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",10130.497740989507,4.83
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",1852.9574759998113,4.72
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",2916.9112279824,4.66
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",1210.8881906984252,4.91
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",2603.6749929601874,4.71
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",5422.36346437288,4.45
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",9479.159603096217,4.59
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",2670.878577464258,4.41
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",6330.349364847409,4.74
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",16960.70685000015,4.78
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",990.352063937895,4.72
"['f11', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",4320.006444172081,4.73
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",1261.2292877833163,4.61
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",3722.060737500604,4.7
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",1173.3775793288746,4.77
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",2168.34411132263,4.42
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",741.0844674929888,4.87
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",9144.096831446674,4.74
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",3626.2544787737443,4.55
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",1974.4488677208324,4.67
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",2234.3532985593056,4.89
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",589.5721107005465,4.66
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",331.4342939124886,4.78
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",674.8856678567603,4.65
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",2196.8762564505696,4.66
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",606.8307638231001,4.66
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",3593.3060700941187,4.91
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",3858.8581323919616,4.68
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",3056.8414613673676,4.46
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",1526.4375104551177,4.53
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",1734.4173712367417,4.67
"['f11', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",291.5337364486599,4.57
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",13534.519355805949,4.48
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",3217.812346637088,4.71
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",10178.542099695605,4.45
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",4090.3213126872006,4.66
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",6843.564827540547,4.94
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",2156.992363142683,4.85
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",226.0990494425431,4.57
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",5827.67422127662,4.93
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",778.519264103786,4.9
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",2954.6267029198802,4.61
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",17952.89233457966,4.69
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",4093.433733194626,4.92
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",3297.4898433130443,4.42
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",2125.48760150547,4.49
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",3700.4195846116913,4.44
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",28797.679052686894,4.5
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",8351.932875284421,4.6
"['f11', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",16053.392100320742,4.58
