model_name],total_time,gBest_fitness
"[-10, 10, 100, 100]",4.106649934,-197.2019490283569
"[-500, 500, 100, 100]",4.420674791,-20689.649324935966
"[-500, 500, 150, 100]",6.956957376999995,-20344.081360634045
"[-500, 500, 100, 500]",36.042571425999995,-36698.396402181825
"[-500, 500, 150, 500]",47.617298039,-41897.092006710234
"[-500, 500, 100, 1000]",66.49697641199998,-41897.58022903944
"[-500, 500, 150, 1000]",101.30879224399999,-41895.86605051516
"[-500, 500, 100, 1500]",114.73862084100003,-41897.32554842702
"[-500, 500, 150, 1500]",158.45863828899996,-41897.31875490893
"[-500, 500, 50, 500]",23.448696978999997,-41858.796400059895
"[-500, 500, 50, 1000]",48.07916238999999,-41896.485402163446
"[-500, 500, 50, 1500]",58.84460176899999,-41893.42091635818
"[-500, 500, 30, 500]",11.315771548999999,-41799.363841325874
"[-500, 500, 30, 1000]",27.393340269,-40803.90652872559
"[-500, 500, 30, 1500]",34.275362495,-41896.90120493861
"[-500, 500, 150, 1000]",116.632301677,-41894.931344569835
"[-500, 500, 100, 300]",29.464638812,-41867.234366357225
"[-500, 500, 150, 300]",30.468971952,-41885.66460405425
