epoch,gBest_fitness
1,-73.67576899076901
2,-87.73450443499345
3,-95.69655918873714
4,-97.44903323266347
5,-97.44903323266347
6,-97.50317056963283
7,-97.50317056963283
8,-101.82391778379188
9,-108.4434375542636
10,-120.25533149965082
11,-129.92136240147283
12,-144.82332045456292
13,-161.60577845260465
14,-176.26701424689594
15,-180.738271377324
16,-186.1762688143459
17,-191.93349838568898
18,-198.68365884059958
19,-204.08940944482717
20,-210.31558944074317
21,-214.4469814805041
22,-220.67199326908138
23,-221.38380011663222
24,-225.58482172888435
25,-232.04471270664936
26,-232.04471270664936
27,-237.5560554720585
28,-237.5560554720585
29,-241.7567282520807
30,-244.8850640630766
31,-244.8850640630766
32,-251.5057866204964
33,-252.51004046034703
34,-253.28517610334413
35,-256.634810848739
36,-261.6735493015619
37,-265.6569458631583
38,-267.29515682248143
39,-271.0362686984738
40,-271.6963110260787
41,-273.8480324473761
42,-273.8480324473761
43,-277.39439338617564
44,-280.06043745387905
45,-281.5386064342843
46,-282.28270859835993
47,-286.0804297258859
48,-290.314489573734
49,-293.21406236352294
50,-293.21406236352294
51,-296.2342044798269
52,-299.55621739652423
53,-301.1441796278897
54,-301.79701828293065
55,-301.8116768227618
56,-302.4454751140218
57,-306.57666616849207
58,-308.1270329070012
59,-309.4364774613477
60,-311.12014832604694
61,-311.17941418242555
62,-311.68452133876286
63,-313.08918999298885
64,-313.7511706605846
65,-315.32568779266006
66,-315.4935145393934
67,-317.47076890997226
68,-317.47076890997226
69,-319.10771316550864
70,-319.10771316550864
71,-319.3863593742416
72,-320.6604880948735
73,-320.920725626144
74,-321.866284605888
75,-324.1038810864173
76,-324.1038810864173
77,-325.64781269694066
78,-325.64781269694066
79,-326.18454760538765
80,-327.7334897473293
81,-328.7858958384131
82,-328.89955185103014
83,-329.5294978246987
84,-332.1594516172366
85,-332.87755444350984
86,-332.9157122010492
87,-333.5443263264304
88,-333.7992701559507
89,-333.7992701559507
90,-337.297793701926
91,-337.5864327546907
92,-337.976232461671
93,-338.3566841844234
94,-339.25647033335224
95,-340.54589601704384
96,-342.10735295011744
97,-343.2684744420149
98,-343.2684744420149
99,-343.2684744420149
100,-344.00619559945034
101,-345.0862992323624
102,-345.0862992323624
103,-345.4541421998786
104,-346.51129855024
105,-346.90940169588464
106,-346.90940169588464
107,-347.55667241238444
108,-347.55667241238444
109,-348.25118509961635
110,-348.9369426533276
111,-348.9369426533276
112,-349.93847835104765
113,-349.93847835104765
114,-350.40223214516817
115,-350.40223214516817
116,-350.740794287931
117,-352.08094870188665
118,-352.2625597863595
119,-352.4468988881112
120,-352.60261610257083
121,-352.81653995955037
122,-354.0419321740927
123,-354.09645263165015
124,-354.24249189478815
125,-354.60926345046425
126,-354.7797775194084
127,-354.8768744747916
128,-355.4630502942621
129,-355.70284779183925
130,-355.70284779183925
131,-356.44869101965895
132,-357.4276420700363
133,-357.67956898086686
134,-357.67956898086686
135,-357.8193204644739
136,-358.21266721997273
137,-358.2794679822454
138,-358.64571059137717
139,-358.81077425584414
140,-359.433159438999
141,-359.433159438999
142,-359.50525528848715
143,-359.80981672132293
144,-359.80981672132293
145,-359.94013619136194
146,-359.94013619136194
147,-359.96370818466386
148,-360.0083140535773
149,-360.027523452254
150,-360.027523452254
151,-360.20998918502806
152,-360.3319931266547
153,-360.3319931266547
154,-360.5258086408372
155,-360.5901281168133
156,-360.5901281168133
157,-360.6086083037473
158,-360.726334071621
159,-360.74388835919694
160,-360.8387724117575
161,-360.843082007443
162,-360.91872315022164
163,-361.0393498776059
164,-361.1860544226078
165,-361.2663235012039
166,-361.3316199138728
167,-361.3316199138728
168,-361.41179116091797
169,-361.45937361937615
170,-361.48773379164425
171,-361.48773379164425
172,-361.5917031108408
173,-361.6489721708552
174,-361.6513422282093
175,-361.689336794357
176,-361.69531318310374
177,-361.7330152631801
178,-361.7726108360021
179,-361.79411936777154
180,-361.7946410851702
181,-361.91098706047273
182,-361.9439540934846
183,-361.9514689191209
184,-361.98372577340575
185,-362.01359376930753
186,-362.1423804443802
187,-362.1424135400869
188,-362.1600836966181
189,-362.24289901877347
190,-362.24289901877347
191,-362.26618422503645
192,-362.29460315191346
193,-362.3715817016142
194,-362.4221097036228
195,-362.44472397107995
196,-362.51143875355626
197,-362.51143875355626
198,-362.54303432731507
199,-362.5907787090736
200,-362.59503506108416
201,-362.6348423287818
202,-362.64005597756017
203,-362.6413543643385
204,-362.6581997093261
205,-362.6600768419103
206,-362.68674752054034
207,-362.69284951402994
208,-362.69816892154506
209,-362.7725185109156
210,-362.7902563195993
211,-362.8709930268323
212,-362.9250691590411
213,-362.99119480500474
214,-363.02106009263616
215,-363.0229761429622
216,-363.0490060183847
217,-363.099071471548
218,-363.1147631438554
219,-363.1252896809497
220,-363.167146333595
221,-363.187590174041
222,-363.1963754028712
223,-363.2331755800731
224,-363.2366503989284
225,-363.2560770818552
226,-363.26093010175856
227,-363.264408966012
228,-363.2651965439784
229,-363.2775371072177
230,-363.2828839610179
231,-363.2838419448124
232,-363.29214389906514
233,-363.3273204600796
234,-363.3321789092341
235,-363.335621890106
236,-363.33710132952444
237,-363.33710132952444
238,-363.33731704713375
239,-363.33832133075487
240,-363.3415327980752
241,-363.34205863259484
242,-363.34364448418347
243,-363.3520804449067
244,-363.35249386769317
245,-363.3673600524994
246,-363.36873623437407
247,-363.3781465192302
248,-363.38330307728654
249,-363.38495576249085
250,-363.3860829612826
