epoch,gBest_fitness
1,464.568
2,475.998
3,396.877
4,386.144
5,372.201
6,358.293
7,268.724
8,258.328
9,250.831
10,202.664
11,218.116
12,189.403
13,163.325
14,163.325
15,162.812
16,156.275
17,123.954
18,114.609
19,114.609
20,104.647
21,98.032
22,78.428
23,78.428
24,74.77
25,68.653
26,57.953
27,61.282
28,50.249
29,44.28
30,44.28
31,41.981
32,41.981
33,34.398
34,34.398
35,34.398
36,32.59
37,27.246
38,25.805
39,23.019
40,23.019
41,20.672
42,22.978
43,20.294
44,16.943
45,16.796
46,16.267
47,14.825
48,12.718
49,11.682
50,9.942
51,9.942
52,9.232
53,8.485
54,7.782
55,6.469
56,7.331
57,6.433
58,5.599
59,4.584
60,4.275
61,3.037
62,3.024
63,2.441
64,1.813
65,1.813
66,1.813
67,1.813
68,1.813
69,1.813
70,1.813
71,1.813
72,1.813
73,1.813
74,1.813
75,1.813
76,1.813
77,1.813
78,1.813
79,1.813
80,1.813
81,1.813
82,1.813
83,1.813
84,1.813
85,1.813
86,1.813
87,1.813
88,1.813
89,1.813
90,1.813
91,1.813
92,1.813
93,1.813
94,1.813
95,1.813
96,1.813
97,1.813
98,1.813
99,1.813
100,1.813
101,1.813
102,1.813
103,1.813
104,1.813
105,1.813
106,1.813
107,1.813
108,1.813
109,1.813
110,1.813
111,1.813
112,1.813
113,1.813
114,1.813
115,1.813
116,1.813
117,1.813
118,1.813
119,1.813
120,1.813
121,1.813
122,1.813
123,1.813
124,1.813
125,1.813
126,1.813
127,1.813
128,1.813
129,1.813
130,1.813
131,1.813
132,1.813
133,1.813
134,1.813
135,1.813
136,1.813
137,1.813
138,1.813
139,1.813
140,1.813
141,1.813
142,1.813
143,1.813
144,1.813
145,1.813
146,1.813
147,1.813
148,1.813
149,1.813
150,1.813
