epoch,gBest_fitness
1,7.71588362769747
2,4.325524893650244
3,0.005695726549804012
4,0.005695726549804012
5,2.6209233412711925e-05
6,9.188556306810502e-07
7,1.3990829664335797e-08
8,1.3990829664335797e-08
9,1.3990829664335797e-08
10,1.3990829664335797e-08
11,1.3990829664335797e-08
12,1.3990829664335797e-08
13,3.74627128557227e-10
14,2.0040054815701273e-11
15,2.0040054815701273e-11
16,2.0040054815701273e-11
17,2.0040054815701273e-11
18,2.0040054815701273e-11
19,2.0040054815701273e-11
20,2.0040054815701273e-11
21,2.0040054815701273e-11
22,2.0040054815701273e-11
23,2.0040054815701273e-11
24,2.0040054815701273e-11
25,2.0040054815701273e-11
26,2.0040054815701273e-11
27,5.296560144354456e-12
28,5.296560144354456e-12
29,5.296560144354456e-12
30,5.1412687492554955e-12
31,3.985198618731983e-14
32,3.985198618731983e-14
33,3.985198618731983e-14
34,3.985198618731983e-14
35,2.840838103755941e-15
36,2.840838103755941e-15
37,2.840838103755941e-15
38,2.840838103755941e-15
39,2.840838103755941e-15
40,2.840838103755941e-15
41,2.840838103755941e-15
42,2.840838103755941e-15
43,2.1538184883312387e-15
44,2.1538184883312387e-15
45,2.1538184883312387e-15
46,4.8603137154153043e-17
47,4.8603137154153043e-17
48,3.155269331169075e-18
49,2.6557806917610112e-18
50,2.415017076012239e-18
51,2.415017076012239e-18
52,2.415017076012239e-18
53,2.415017076012239e-18
54,2.8818627855073907e-19
55,2.8818627855073907e-19
56,2.8818627855073907e-19
57,2.8818627855073907e-19
58,2.8818627855073907e-19
59,2.8818627855073907e-19
60,2.8818627855073907e-19
61,2.8818627855073907e-19
62,2.8818627855073907e-19
63,2.8818627855073907e-19
64,2.8818627855073907e-19
65,2.8818627855073907e-19
66,2.8818627855073907e-19
67,2.8818627855073907e-19
68,2.8818627855073907e-19
69,2.8818627855073907e-19
70,2.8818627855073907e-19
71,2.8818627855073907e-19
72,2.3924157470185476e-19
73,2.3924157470185476e-19
74,1.90608367059412e-19
75,1.90608367059412e-19
76,1.0380732471004948e-21
77,1.0380732471004948e-21
78,1.0380732471004948e-21
79,1.0380732471004948e-21
80,1.0380732471004948e-21
81,1.0380732471004948e-21
82,1.0380732471004948e-21
83,1.0380732471004948e-21
84,1.0380732471004948e-21
85,1.0380732471004948e-21
86,1.0380732471004948e-21
87,1.0380732471004948e-21
88,7.982544754271949e-22
89,7.982544754271949e-22
90,7.982544754271949e-22
91,2.0908836897822458e-22
92,2.0908836897822458e-22
93,2.9539443388921674e-24
94,1.0572304539561784e-24
95,1.0572304539561784e-24
96,1.0572304539561784e-24
97,1.0572304539561784e-24
98,8.397353101111852e-25
99,8.397353101111852e-25
100,9.976565245185682e-27
101,9.152073356690542e-27
102,9.152073356690542e-27
103,9.152073356690542e-27
104,6.62758998201793e-27
105,1.7295526144910944e-27
106,1.7295526144910944e-27
107,1.7295526144910944e-27
108,1.0140374774710983e-27
109,2.2756847584868838e-29
110,2.2756847584868838e-29
111,2.727558783678908e-30
112,2.727558783678908e-30
113,1.8621744663711625e-31
114,6.945617224482465e-33
115,6.945617224482465e-33
116,6.945617224482465e-33
117,6.945617224482465e-33
118,6.945617224482465e-33
119,6.945617224482465e-33
120,6.945617224482465e-33
121,6.945617224482465e-33
122,6.945617224482465e-33
123,6.945617224482465e-33
124,6.945617224482465e-33
125,6.945617224482465e-33
126,6.945617224482465e-33
127,6.293368409414835e-33
128,6.293368409414835e-33
129,6.293368409414835e-33
130,6.175747258030679e-33
131,1.0200584015391685e-34
132,1.0200584015391685e-34
133,1.7098399835037572e-35
134,1.7098399835037572e-35
135,1.5958183824165654e-35
136,5.8383479136093296e-36
137,5.8383479136093296e-36
138,5.8383479136093296e-36
139,9.693387595039681e-37
140,9.693387595039681e-37
141,2.4284083116203125e-37
142,2.4284083116203125e-37
143,2.4284083116203125e-37
144,6.333052699618048e-38
145,6.133665375163013e-39
146,6.133665375163013e-39
147,6.133665375163013e-39
148,5.4814030181183015e-39
149,8.058403603225828e-40
150,8.058403603225828e-40
151,1.2522356545965578e-40
152,2.6876321131813e-42
153,2.6876321131813e-42
154,8.130399264855914e-43
155,8.130399264855914e-43
156,1.2352510676988798e-43
157,3.8376921025742944e-45
158,3.8376921025742944e-45
159,3.0542013720222377e-46
160,3.0542013720222377e-46
161,3.0542013720222377e-46
162,3.0542013720222377e-46
163,3.0542013720222377e-46
164,1.8836385708934587e-47
165,1.8836385708934587e-47
166,1.8836385708934587e-47
167,9.645237385082818e-48
168,5.747781110658677e-49
169,2.988234269746488e-51
170,2.988234269746488e-51
171,7.963642731850523e-52
172,5.736924046526095e-54
173,5.736924046526095e-54
174,3.305449042612991e-54
175,3.305449042612991e-54
176,3.232631996910337e-54
177,1.5846422478283356e-55
178,5.168452954271158e-57
179,5.168452954271158e-57
180,5.168452954271158e-57
181,5.168452954271158e-57
182,5.168452954271158e-57
183,9.411095897839162e-58
184,9.411095897839162e-58
185,3.2731451050609013e-59
186,3.2731451050609013e-59
187,3.2731451050609013e-59
188,3.2731451050609013e-59
189,1.715265471529908e-59
190,1.1531658682206463e-60
191,1.1531658682206463e-60
192,1.1531658682206463e-60
193,2.162832851514649e-61
194,2.162832851514649e-61
195,8.559491605347982e-64
196,8.559491605347982e-64
197,6.418748147186603e-65
198,6.418748147186603e-65
199,6.418748147186603e-65
200,9.360616263472475e-67
201,9.360616263472475e-67
202,4.30631493057617e-67
203,4.30631493057617e-67
204,4.30631493057617e-67
205,4.30631493057617e-67
206,3.4559896503346715e-67
207,1.0430764078079922e-67
208,1.9103826041362194e-68
209,1.2235018034743156e-68
210,1.2235018034743156e-68
211,1.3679726546237262e-71
212,7.119647149961882e-72
213,7.119647149961882e-72
214,7.119647149961882e-72
215,6.239259606489308e-72
216,1.889177350205449e-73
217,2.0563368355901123e-74
218,2.0563368355901123e-74
219,1.098804173874712e-74
220,1.098804173874712e-74
221,2.1810767698795932e-76
222,2.7144678237204644e-78
223,2.7144678237204644e-78
224,2.7144678237204644e-78
225,2.7144678237204644e-78
226,2.7144678237204644e-78
227,3.3144405817572747e-79
228,2.8030670476838346e-79
229,5.31518019903944e-80
230,5.9940468057832e-81
231,5.9940468057832e-81
232,5.9940468057832e-81
233,3.3996315222973453e-81
234,8.112625581151891e-82
235,3.9848804116975356e-82
236,2.232733517841036e-83
237,1.9601180706238615e-83
238,1.9601180706238615e-83
239,1.9601180706238615e-83
240,1.3571263643078065e-83
241,1.1794949622269818e-83
242,6.798038919479908e-85
243,6.798038919479908e-85
244,3.1040949536419135e-85
245,2.2232291183134737e-85
246,4.552335242997157e-86
247,4.552335242997157e-86
248,1.0498882265439364e-87
249,1.1329685607007975e-90
250,9.768024190724761e-92
