"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f24', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",8.68,0.0
"['f24', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",11.2,0.0
"['f24', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",9.04,0.0
"['f24', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",11.33,0.0
"['f24', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",11.32,0.0
"['f24', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",9.18,0.0
"['f24', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",11.68,0.0
"['f24', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",9.17,0.0
"['f24', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",11.4,0.0
"['f24', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",11.58,0.0
"['f24', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",11.95,0.0
"['f24', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",15.7,0.0
"['f24', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",12.03,0.0
"['f24', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",15.69,0.0
"['f24', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",15.8,0.0
"['f24', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",12.61,0.0
"['f24', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",16.11,0.0
"['f24', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",12.57,0.0
"['f24', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",16.29,0.0
"['f24', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",16.41,0.0
"['f24', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",18.83,0.0
"['f24', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",24.47,0.0
"['f24', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",18.81,0.0
"['f24', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",24.28,0.0
"['f24', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",24.22,0.0
"['f24', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",19.11,0.0
"['f24', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",24.85,0.0
"['f24', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",19.38,0.0
"['f24', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",24.85,0.0
"['f24', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",24.87,0.0
"['f24', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",35.32,0.0
"['f24', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",46.05,0.0
"['f24', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",34.94,0.0
"['f24', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",46.0,0.0
"['f24', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",46.52,0.0
"['f24', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",36.33,0.0
"['f24', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",47.32,0.0
"['f24', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",36.3,0.0
"['f24', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",47.31,0.0
"['f24', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",50.23,0.0
