"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.628533000000001
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.886231
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.57635
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.837672999999999
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.663148
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.882406
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.767693999999999
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.542963
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.455906999999996
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.7213489999999965
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.551411999999999
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.599698999999994
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.7002529999999965
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.766936999999999
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.648308
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.871286000000012
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.637760999999998
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,5.116251000000005
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,5.162503000000001
"['f3', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.480840000000001
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.750455000000002
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.907832999999997
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.739990000000006
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.630747999999997
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.494878999999997
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.6317029999999875
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.877261000000004
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.686106999999993
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.722484000000009
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.726172999999989
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.639578
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.538229000000001
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.4817409999999995
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.433697999999993
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.721504999999979
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.387248
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.405317999999994
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.630285999999984
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.925792999999999
"['f3', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.746438000000012
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.568240000000003
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.815221000000008
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.623899000000023
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.580303999999984
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.675108999999992
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.913601999999997
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.4436350000000004
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.789139000000006
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.580103000000008
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.606508000000019
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.520559999999989
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.426283000000012
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.730792000000008
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.457941000000005
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.459011999999973
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.496788999999978
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.489446999999984
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.4234500000000025
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.757750000000044
"['f3', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",-2100.0,4.719092999999987
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.475572
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.599267999999995
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.4246330000000285
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.773104999999987
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,6.036280999999974
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.3997830000000135
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.367456000000004
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.376108999999985
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.8804719999999975
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.649324999999976
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.606199000000004
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.616795000000025
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.785570000000007
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.799847999999997
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.472101000000009
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.737648999999976
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.683918000000006
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.761458000000005
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.422253000000012
"['f3', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.51779700000003
"['f3', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.776151000000027
"['f3', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.990290000000016
"['f3', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.6593540000000075
"['f3', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.645723000000032
"['f3', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.593357000000026
"['f3', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",-2100.0,5.6333099999999945
