"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f7', 20, -10, 10, 100, 250, 25000]",3.63,0.20193424696669077
"['f7', 20, -10, 10, 100, 300, 30000]",4.31,0.17272734583461652
"['f7', 20, -10, 10, 200, 150, 30000]",3.95,0.294466205799675
"['f7', 20, -100, 100, 100, 250, 25000]",3.63,0.7925332278397811
"['f7', 20, -100, 100, 100, 300, 30000]",4.24,0.11295539424128063
"['f7', 20, -100, 100, 200, 150, 30000]",4.54,0.19635471481585826
"['f7', 30, -10, 10, 100, 250, 25000]",3.9,0.45460243975917136
"['f7', 30, -10, 10, 100, 300, 30000]",4.46,0.5120372831097236
"['f7', 30, -10, 10, 200, 150, 30000]",4.76,0.5661629128335919
"['f7', 30, -100, 100, 100, 250, 25000]",4.26,0.0818533697102711
"['f7', 30, -100, 100, 100, 300, 30000]",5.03,0.43707513011038174
"['f7', 30, -100, 100, 200, 150, 30000]",5.08,0.44660285160945273
"['f7', 50, -10, 10, 100, 250, 25000]",4.74,0.5690985058523681
"['f7', 50, -10, 10, 100, 300, 30000]",5.59,0.1917489027044463
"['f7', 50, -10, 10, 200, 150, 30000]",5.96,0.3755614789511725
"['f7', 50, -100, 100, 100, 250, 25000]",5.43,0.41186911180597235
"['f7', 50, -100, 100, 100, 300, 30000]",6.9,0.40287794100999413
"['f7', 50, -100, 100, 200, 150, 30000]",6.63,0.9123515076114198
"['f7', 100, -10, 10, 100, 250, 25000]",7.2,0.6566906100599975
"['f7', 100, -10, 10, 100, 300, 30000]",8.58,0.5983864911570996
"['f7', 100, -10, 10, 200, 150, 30000]",9.02,0.35848592913273086
"['f7', 100, -100, 100, 100, 250, 25000]",8.53,0.053598248855436945
"['f7', 100, -100, 100, 100, 300, 30000]",9.63,0.8349559722282457
"['f7', 100, -100, 100, 200, 150, 30000]",10.08,0.7154266214515396
