"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",gBest_fitness,total_time
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",12128512.167,3.9616359999927226
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",34371385.023,3.8496370000066236
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",182683705.519,3.911038999998709
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",79535787.958,3.841562999994494
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",227806137.027,3.9424700000090525
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",67277086.974,3.732690000004368
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",73473590.397,3.871861000021454
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",24443631.949,3.7202269999834243
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",102181.297,3.9137289999925997
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",8085766.107,3.874572000000626
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",758888.039,3.9184730000270065
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",974124342.474,3.982036999979755
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",189434400.933,3.782595000026049
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",62937521.81,3.6817359999986365
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",44804560.898,3.633700999984285
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",177601824.144,3.7961409999988973
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",1272067.701,3.8295780000044033
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",1048327315.034,3.798735000018496
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",1338576.417,3.8940780000120867
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",17134029.989,3.817687000002479
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",15485243741.349,5.0016710000054445
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",2824025.137,4.553395000024466
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",7442819.088,4.63182899999083
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",132687.085,4.751281000004383
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",4389579057.281,4.684218999987934
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",18202648.252,4.659554000012577
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",20166869.697,4.428673000016715
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",91094348.902,4.658173999981955
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",144814.418,4.688572999992175
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",35703698.499,4.863154999999097
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",29170.673,4.538506999990204
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",32487863.198,4.72670199998538
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",5709232.958,4.774076999980025
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",9044962.526,5.052919000008842
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",1885553.234,4.766004999983124
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",363605553.641,4.664344999997411
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",1718658.075,5.243179999990389
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",135972192.26,4.765559999999823
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",10081111.178,4.574781000002986
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",11066363.871,4.770195000019157
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",240016.234,3.908132000011392
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",20855582.762,4.002866000024369
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",151914.416,3.9256750000058673
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",17649251.904,3.7085599999991246
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",88728614.266,3.720180000003893
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",484675258.32,3.89548599999398
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",721435981.572,3.7708550000097603
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",8307.194,3.6349439999903552
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",815244.586,3.9010899999993853
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",25924344.877,4.221011999994516
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",2158520807.372,3.960382999997819
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",48667714.122,4.073789000016404
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",22059349.6,4.245836000016425
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",13909386.587,4.058919000002788
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",1234210026.237,4.2426989999949
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",44520646.76,4.102226999995764
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",1837.97,3.735450000007404
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",64.334,3.996425999997882
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",3116756.035,4.034779000008712
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",3544557.411,3.749641000002157
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",4306985017.526,4.931819000019459
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",51832221.049,4.55556800001068
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",1274933.363,4.82458799998858
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",665960578.611,4.869983000011416
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",14268606.805,4.718093000003137
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",13963.108,4.496723999996902
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",129857715.918,4.599772999994457
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",66975041.316,4.6215919999813195
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",5454.235,4.5248349999892525
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",3369436389.261,4.8263889999943785
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",33220252.376,4.901879999990342
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",13313320.922,4.546621000015875
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",139571183.855,4.712431000021752
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",92562869.411,4.555721999990055
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",1732056.268,4.90542799999821
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",26171503.894,4.619302000006428
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",27677379.6,4.753201999992598
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",206632387.429,4.537588999985019
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",91868366.277,5.390088999993168
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",2373676880.775,5.040320999978576
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",21597848.066,4.0731570000061765
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",811705908.461,4.088247000006959
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",4661853.902,3.894272000005003
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",401821311.787,3.850590000016382
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",5328069.475,4.197320999985095
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",157247596.146,4.06568800000241
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",70188891.021,4.1630609999992885
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",28911937.794,4.16288099999656
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",16209190.966,4.054858000017703
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",3554521.605,4.076468999992358
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",2896485.123,4.047736999986228
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",220750.316,4.007169000018621
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",2976737264.725,4.252896999998484
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",4888086.774,3.96324499999173
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",413035.402,3.7719449999858625
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",144714371.411,3.896760000003269
